,subject,predicate,object,from,until,object_has_years,subject_has_years,not_imputable_until
0,Beverly Adams,was born in,Edmonton,1945,1945,False,False,False
1,Rae Dawn Chong,was born in,Edmonton,1961,1961,False,False,False
2,Daniel Fernandes (footballer),was born in,Edmonton,1983,1983,False,False,False
3,Mike Comrie,was born in,Edmonton,1980,1980,False,False,False
4,Jordan Peterson,was born in,Edmonton,1962,1962,False,False,False
5,Tosaint Ricketts,was born in,Edmonton,1987,1987,False,False,False
6,Tommy Chong,was born in,Edmonton,1938,1938,False,False,False
7,Michael J. Fox,was born in,Edmonton,1961,1961,False,False,False
8,Al Gore,was born in,"Washington, D.C.",1948,1948,False,False,False
9,Norman Foster Ramsey Jr.,was born in,"Washington, D.C.",1915,1915,False,False,False
10,Edwin Atherton,was born in,"Washington, D.C.",1896,1896,False,False,False
11,Paul Steinhardt,was born in,"Washington, D.C.",1952,1952,False,False,False
12,Alexandra Wentworth,was born in,"Washington, D.C.",1965,1965,False,False,False
13,Raymond Davis Jr.,was born in,"Washington, D.C.",1914,1914,False,False,False
14,Camille Cosby,was born in,"Washington, D.C.",1944,1944,False,False,False
15,Claire Shipman,was born in,"Washington, D.C.",1962,1962,False,False,False
16,Thomas Penfield Jackson,was born in,"Washington, D.C.",1937,1937,False,False,False
17,Marin Raykov,was born in,"Washington, D.C.",1960,1960,False,False,False
18,Michael Heisley,was born in,"Washington, D.C.",1937,1937,False,False,False
19,Justin Theroux,was born in,"Washington, D.C.",1971,1971,False,False,False
20,William Thurston,was born in,"Washington, D.C.",1946,1946,False,False,False
21,Jay Carney,was born in,"Washington, D.C.",1965,1965,False,False,False
22,Charles Fefferman,was born in,"Washington, D.C.",1949,1949,False,False,False
23,Janet Howell,was born in,"Washington, D.C.",1944,1944,False,False,False
24,Katherine Heigl,was born in,"Washington, D.C.",1978,1978,False,False,False
25,David Gross,was born in,"Washington, D.C.",1941,1941,False,False,False
26,John Heard (actor),was born in,"Washington, D.C.",1945,1945,False,False,False
27,Goldie Hawn,was born in,"Washington, D.C.",1945,1945,False,False,False
28,Frederick D. Gregory,was born in,"Washington, D.C.",1941,1941,False,False,False
29,Tod Eberle,was born in,"Washington, D.C.",1886,1886,False,False,False
30,Eden Riegel,was born in,"Washington, D.C.",1981,1981,False,False,False
31,James P. Gray,was born in,"Washington, D.C.",1945,1945,False,False,False
32,Whit Stillman,was born in,"Washington, D.C.",1952,1952,False,False,False
33,Paula Vogel,was born in,"Washington, D.C.",1951,1951,False,False,False
34,Adam Riess,was born in,"Washington, D.C.",1969,1969,False,False,False
35,Oguchi Onyewu,was born in,"Washington, D.C.",1982,1982,False,False,False
36,Lauren Bowles,was born in,"Washington, D.C.",1970,1970,False,False,False
37,Ericka Huggins,was born in,"Washington, D.C.",1948,1948,False,False,False
38,Leonora Speyer,was born in,"Washington, D.C.",1872,1872,False,False,False
39,Maury Povich,was born in,"Washington, D.C.",1939,1939,False,False,False
40,Lisa Nowak,was born in,"Washington, D.C.",1963,1963,False,False,False
41,Francis Birch (geophysicist),was born in,"Washington, D.C.",1903,1903,False,False,False
42,Larry Hogan,was born in,"Washington, D.C.",1956,1956,False,False,False
43,Tipper Gore,was born in,"Washington, D.C.",1948,1948,False,False,False
44,Madlyn Rhue,was born in,"Washington, D.C.",1935,1935,False,False,False
45,Gilbert Melville Grosvenor,was born in,"Washington, D.C.",1931,1931,False,False,False
46,Connie Chung,was born in,"Washington, D.C.",1946,1946,False,False,False
47,Georgia Engel,was born in,"Washington, D.C.",1948,1948,False,False,False
48,Michael Chabon,was born in,"Washington, D.C.",1963,1963,False,False,False
49,Monta Bell,was born in,"Washington, D.C.",1891,1891,False,False,False
50,Tiko Campbell,was born in,"Washington, D.C.",1947,1947,False,False,False
51,Pat Buchanan,was born in,"Washington, D.C.",1938,1938,False,False,False
52,Hugh Auchincloss Steers,was born in,"Washington, D.C.",1963,1963,False,False,False
53,Donald R. McMonagle,was born in,"Flint, Michigan",1952,1952,False,False,False
54,Nancy Kovack,was born in,"Flint, Michigan",1935,1935,False,False,False
55,Stephen Smale,was born in,"Flint, Michigan",1930,1930,False,False,False
56,Donald B. Beary,was born in,"Helena, Montana",1888,1888,False,False,False
57,Dava Newman,was born in,"Helena, Montana",1964,1964,False,False,False
58,Myrna Loy,was born in,"Helena, Montana",1905,1905,False,False,False
59,Gary Cooper,was born in,"Helena, Montana",1901,1901,False,False,False
60,Sarah Roemer,was born in,San Diego,1984,1984,False,False,False
61,Kathy Najimy,was born in,San Diego,1957,1957,False,False,False
62,William C. McCool,was born in,San Diego,1961,1961,False,False,False
63,Chris Innis,was born in,San Diego,1966,1966,False,False,False
64,Darrell Long,was born in,San Diego,1962,1962,False,False,False
65,Kris Jenner,was born in,San Diego,1955,1955,False,False,False
66,Carol W. Greider,was born in,San Diego,1961,1961,False,False,False
67,Alexxis Nevaeh,was born in,San Diego,1987,1987,False,False,False
68,Alana Stewart,was born in,San Diego,1945,1945,False,False,False
69,Ida Halpern,was born in,Vienna,1910,1910,False,False,False
70,Wolfgang Pauli,was born in,Vienna,1900,1900,False,False,False
71,Victor Weisskopf,was born in,Vienna,1908,1908,False,False,False
72,Romy Schneider,was born in,Vienna,1938,1938,False,False,False
73,Ruth Hubbard,was born in,Vienna,1924,1924,False,False,False
74,Rudolf Kompfner,was born in,Vienna,1909,1909,False,False,False
75,Felix Frankfurter,was born in,Vienna,1882,1882,False,False,False
76,Max Perutz,was born in,Vienna,1914,1914,False,False,False
77,Elfriede Geiringer,was born in,Vienna,1905,1905,False,False,False
78,Edward Bernays,was born in,Vienna,1891,1891,False,False,False
79,Susan Douglas Rubes,was born in,Vienna,1925,1925,False,False,False
80,Friedrich Katz,was born in,Vienna,1927,1927,False,False,False
81,Maria Rohm,was born in,Vienna,1945,1945,False,False,False
82,Lise Meitner,was born in,Vienna,1878,1878,False,False,False
83,Eduard von Borsody,was born in,Vienna,1898,1898,False,False,False
84,Walter Kohn,was born in,Vienna,1923,1923,False,False,False
85,Josef von Halban,was born in,Vienna,1870,1870,False,False,False
86,Maximilian Schell,was born in,Vienna,1930,1930,False,False,False
87,Boris Kodjoe,was born in,Vienna,1973,1973,False,False,False
88,Fritz Kortner,was born in,Vienna,1892,1892,False,False,False
89,Helene Thimig,was born in,Vienna,1889,1889,False,False,False
90,Nadja Tiller,was born in,Vienna,1929,1929,False,False,False
91,Turgay Bahadır,was born in,Vienna,1984,1984,False,False,False
92,Richard Kuhn,was born in,Vienna,1900,1900,False,False,False
93,Walter Munk,was born in,Vienna,1917,1917,False,False,False
94,Eric Kandel,was born in,Vienna,1929,1929,False,False,False
95,Berthold Viertel,was born in,Vienna,1885,1885,False,False,False
96,Dési von Halban,was born in,Vienna,1912,1912,False,False,False
97,Konrad Lorenz,was born in,Vienna,1903,1903,False,False,False
98,Martin Karplus,was born in,Vienna,1930,1930,False,False,False
99,Elisabeth Neumann-Viertel,was born in,Vienna,1900,1900,False,False,False
100,Jocelyn Lane,was born in,Vienna,1937,1937,False,False,False
101,Torrance Coombs,was born in,Vancouver,1983,1983,False,False,False
102,David Suzuki,was born in,Vancouver,1936,1936,False,False,False
103,James Beveridge,was born in,Vancouver,1917,1917,False,False,False
104,Terry Dunfield,was born in,Vancouver,1982,1982,False,False,False
105,Lisa Vultaggio,was born in,Vancouver,1973,1973,False,False,False
106,Cobie Smulders,was born in,Vancouver,1982,1982,False,False,False
107,Dorothy Stratten,was born in,Vancouver,1960,1960,False,False,False
108,David Margolese,was born in,Vancouver,1957,1957,False,False,False
109,Michael Shanks,was born in,Vancouver,1970,1970,False,False,False
110,Paul Snider,was born in,Vancouver,1951,1951,False,False,False
111,Seth Rogen,was born in,Vancouver,1982,1982,False,False,False
112,June Havoc,was born in,Vancouver,1912,1912,False,False,False
113,Deborah Grey,was born in,Vancouver,1952,1952,False,False,False
114,João Paiva,was born in,Lisbon,1983,1983,False,False,False
115,José Gonçalves (footballer),was born in,Lisbon,1985,1985,False,False,False
116,Pedro Valido,was born in,Lisbon,1970,1970,False,False,False
117,Yago Fernández,was born in,Lisbon,1988,1988,False,False,False
118,Miguel Lopes,was born in,Lisbon,1986,1986,False,False,False
119,"Beto (footballer, born 1982)",was born in,Lisbon,1982,1982,False,True,False
120,Diogo Tavares,was born in,Lisbon,1987,1987,False,False,False
121,Luís Andrade,was born in,Lisbon,1973,1973,False,False,False
122,Fernando Pessoa,was born in,Lisbon,1888,1888,False,False,False
123,Miguel Ângelo (footballer),was born in,Lisbon,1984,1984,False,False,False
124,Carlos Marques,was born in,Lisbon,1983,1983,False,False,False
125,Paulo Sérgio Moreira Gonçalves,was born in,Lisbon,1984,1984,False,False,False
126,Carlos Saleiro,was born in,Lisbon,1986,1986,False,False,False
127,Vincent Wong (Hong Kong actor),was born in,Hong Kong,1983,1983,False,False,False
128,Emme Wong,was born in,Hong Kong,1981,1981,False,False,False
129,Maria Tam,was born in,Hong Kong,1945,1945,False,False,False
130,Anita Yuen,was born in,Hong Kong,1971,1971,False,False,False
131,Moses Chan,was born in,Hong Kong,1971,1971,False,False,False
132,Kay Tse,was born in,Hong Kong,1977,1977,False,False,False
133,Richard Tsoi,was born in,Hong Kong,1967,1967,False,False,False
134,Kenix Kwok,was born in,Hong Kong,1970,1970,False,False,False
135,Jan Lamb,was born in,Hong Kong,1967,1967,False,False,False
136,Yoyo Chen,was born in,Hong Kong,1981,1981,False,False,False
137,Zachary Wong,was born in,Hong Kong,1957,1957,False,False,False
138,Fung Chi-wood,was born in,Hong Kong,1956,1956,False,False,False
139,Cass Phang,was born in,Hong Kong,1969,1969,False,False,False
140,Choy Kan-pui,was born in,Hong Kong,1929,1929,False,False,False
141,Chung Pui-lam,was born in,Hong Kong,1940,1940,False,False,False
142,Julian Cheung,was born in,Hong Kong,1971,1971,False,False,False
143,Michael Cheng Tak-kin,was born in,Hong Kong,1938,1938,False,False,False
144,Frankie Lam,was born in,Hong Kong,1967,1967,False,False,False
145,Louis Cheung,was born in,Hong Kong,1980,1980,False,False,False
146,Kam-Biu Luk,was born in,Hong Kong,1953,1953,False,False,False
147,Danny Chan Kwok-kwan,was born in,Hong Kong,1975,1975,False,False,False
148,Michael Ho (politician),was born in,Hong Kong,1955,1955,False,False,False
149,Ada Choi,was born in,Hong Kong,1973,1973,False,False,False
150,Neelam Kothari,was born in,Hong Kong,1968,1968,False,False,False
151,Wong Sing-chi,was born in,Hong Kong,1957,1957,False,False,False
152,Julie Bishop (actress),was born in,Denver,1914,1914,False,False,False
153,Ruth Handler,was born in,Denver,1916,1916,False,False,False
